OA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00016134,275,4,1,4,2,4,1,4,4,2,6,4,5,0,5,1,4,1,6,2,1,3,1,3,2,3,4,1,2,3,6,3,3,6,5,3,3,2,3,5,3,4,6,4,3,3,4,5,5,2,4,6,5,5,4,3,3,1,2,6,1,5,4,1,4,3,2,1,6,2,4,3,7,3,9,4,3,1,2,2,0,0,2,2,2,0,0,0,0,0,0,2
E00016140,323,3,5,3,4,7,2,11,6,6,4,5,2,4,4,6,4,5,2,2,3,4,2,0,4,3,6,4,6,8,4,4,5,7,9,9,7,4,8,2,5,11,3,7,4,6,5,6,4,4,5,5,3,2,4,7,3,5,4,1,2,3,0,4,2,3,1,3,0,3,1,5,4,7,2,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
E00016118,380,3,4,5,4,3,3,5,2,5,3,8,3,2,3,4,2,5,3,3,4,4,3,6,3,1,3,4,2,3,6,9,8,5,6,4,4,6,5,9,7,4,6,4,5,6,5,6,10,4,6,4,4,4,6,8,6,8,6,8,7,3,4,7,4,2,8,1,1,6,4,6,5,4,6,4,1,2,5,1,0,1,2,1,1,3,3,0,0,0,1,5
E00016154,314,7,1,3,9,5,2,3,3,3,4,11,3,5,6,8,3,2,1,2,1,1,1,2,1,2,1,3,5,4,5,4,8,4,1,5,2,6,3,3,5,9,10,2,8,3,7,6,0,5,5,6,6,1,1,2,2,4,1,2,3,2,2,5,3,3,0,6,6,2,7,4,1,5,2,0,1,5,1,2,5,0,1,3,1,0,5,2,0,2,0,7
E00016155,449,3,7,4,5,6,9,7,10,4,3,7,7,6,4,7,4,9,8,2,1,2,7,0,5,5,7,5,8,5,9,6,17,5,7,7,8,13,10,8,10,12,9,11,10,7,7,9,10,6,9,9,6,4,6,5,7,4,6,12,6,1,3,2,1,3,0,3,3,1,2,2,0,2,1,0,0,0,0,0,0,0,3,0,0,3,2,0,0,2,2,1
E00016156,349,4,3,3,4,3,4,5,2,7,9,3,1,4,10,6,5,5,4,2,4,1,3,2,4,6,5,2,4,2,5,5,4,5,2,4,4,6,5,5,6,8,4,3,4,6,11,7,2,5,2,4,2,5,7,7,7,8,5,4,2,3,4,1,5,9,2,7,4,2,3,6,2,3,5,0,1,2,2,4,1,0,0,2,2,2,0,3,2,0,0,1
E00016157,384,5,3,8,6,5,7,3,8,4,2,5,7,9,3,15,8,8,11,4,4,3,5,3,4,3,3,6,2,4,6,3,7,5,4,5,6,5,12,4,2,8,7,7,5,4,5,6,14,1,6,4,9,5,8,3,1,5,2,6,7,6,6,3,3,6,4,3,2,0,2,1,0,1,1,0,1,0,1,4,2,4,0,0,0,2,0,1,1,0,0,0
E00016112,341,7,4,6,8,4,9,7,6,3,2,3,8,2,2,7,4,4,7,0,2,4,3,3,4,3,3,4,6,4,4,3,4,3,6,3,8,6,6,8,1,6,7,4,7,9,5,6,4,8,4,5,4,6,4,4,1,1,7,3,3,2,4,1,4,2,1,0,1,4,3,4,1,3,5,4,3,0,2,2,0,3,0,1,1,1,1,1,3,1,0,4
E00016119,354,5,0,9,2,6,7,3,6,7,5,6,3,7,3,7,4,4,0,5,3,2,2,0,4,3,9,2,4,3,1,2,3,7,3,7,7,5,11,4,4,5,8,7,5,7,8,2,1,3,11,9,5,5,7,3,5,14,2,2,5,3,3,4,3,3,3,3,0,2,6,1,3,3,3,4,0,4,1,6,1,1,2,0,1,3,2,0,0,0,0,0
E00016121,271,2,2,6,2,4,4,4,3,4,4,3,5,4,1,5,3,2,1,3,2,3,2,2,3,6,4,3,0,0,3,2,5,2,4,1,3,6,4,6,6,3,3,7,6,8,3,5,7,6,5,7,10,1,5,6,1,7,7,4,5,2,5,3,0,2,1,3,3,1,2,1,2,1,0,0,1,1,1,0,0,1,0,0,0,2,0,0,1,0,1,2
E00016123,323,4,5,4,5,7,5,1,2,2,4,2,2,6,6,5,3,7,5,8,1,2,4,3,6,5,3,1,9,2,0,1,3,1,3,1,7,6,7,6,5,1,5,7,11,7,1,6,6,6,4,5,6,4,5,8,6,4,7,5,5,2,3,3,2,2,1,1,1,2,6,4,2,1,5,0,0,2,4,2,2,3,1,1,0,1,1,2,0,1,0,0
E00016158,307,9,7,5,7,5,3,3,1,5,4,4,4,5,1,4,2,3,3,3,0,2,4,2,2,2,2,4,3,5,4,6,4,2,3,5,7,3,5,3,4,10,7,3,6,2,6,3,3,1,9,4,5,3,10,8,8,6,5,6,7,2,3,3,2,3,1,3,1,0,3,5,2,2,3,0,0,0,2,2,1,0,2,1,0,0,0,0,1,1,1,1
E00016113,394,4,2,6,0,5,6,4,6,6,2,6,8,4,5,10,7,3,4,7,6,5,5,2,5,4,3,4,2,2,2,3,4,5,5,4,6,6,7,6,4,6,14,5,4,5,2,4,5,3,5,3,5,5,8,8,3,12,10,4,4,6,9,6,6,7,2,2,2,1,3,1,2,2,4,1,4,3,2,2,1,1,6,3,5,3,0,1,2,2,0,5
E00016120,339,5,6,2,6,4,4,5,7,11,7,11,3,8,6,5,6,5,3,3,1,0,3,1,4,3,3,5,3,2,4,4,7,3,4,5,9,8,6,8,6,5,3,8,5,2,2,4,7,5,5,5,4,6,8,3,6,3,8,5,3,6,3,4,5,3,2,1,1,1,0,2,0,1,2,0,2,1,3,0,0,0,0,0,1,0,2,0,0,2,0,4
E00016122,405,8,8,5,3,4,6,9,7,8,7,8,6,14,14,8,4,4,0,5,3,2,2,5,4,3,3,3,2,7,3,3,6,5,7,3,10,8,12,9,11,9,5,8,8,9,5,2,7,2,3,5,5,6,3,8,5,3,5,4,5,4,7,3,3,6,3,3,0,5,2,4,0,0,1,1,2,1,2,1,0,1,1,2,2,1,0,0,0,0,1,3
E00016124,333,4,7,5,5,4,6,10,8,10,9,7,13,10,10,7,7,6,5,3,2,0,4,4,1,6,1,1,1,1,2,1,3,6,3,5,4,7,3,3,8,3,7,7,5,2,5,1,4,4,7,4,4,4,2,8,4,2,3,2,5,10,3,1,3,2,3,2,2,2,3,2,1,0,0,1,1,1,1,0,1,0,1,1,2,0,2,1,1,0,0,1
E00016125,362,5,8,3,4,4,3,4,5,9,6,12,8,9,6,5,7,6,7,9,6,4,1,2,3,1,2,1,3,5,1,6,10,3,4,5,6,3,4,10,9,8,10,9,3,8,6,4,3,3,6,3,4,5,3,8,3,9,0,5,0,1,5,4,3,1,1,2,2,3,0,3,1,1,0,1,2,0,1,2,1,3,7,1,3,2,2,0,0,0,0,1
E00016114,310,0,2,5,3,4,4,4,5,5,5,5,7,2,4,5,7,1,3,3,2,1,3,6,2,3,3,5,4,3,5,0,3,0,4,4,4,4,11,2,6,4,5,7,3,4,4,1,3,3,3,3,10,3,11,8,4,7,11,1,7,4,7,5,1,4,6,2,3,5,1,4,4,0,1,0,2,2,0,1,1,0,0,3,0,1,0,2,0,0,0,0
E00016128,332,2,5,2,6,1,9,3,7,11,3,9,4,4,3,7,11,7,1,3,4,2,2,2,3,1,4,2,1,4,2,2,7,7,4,6,4,5,3,3,6,6,4,3,8,7,7,6,7,4,3,5,7,7,2,5,5,6,5,4,5,4,4,1,5,2,3,4,6,2,1,0,0,2,4,1,2,0,0,4,1,2,0,2,1,0,0,0,2,1,0,0
E00016130,323,4,6,3,4,5,2,2,6,5,5,7,5,2,2,6,4,2,1,2,4,2,4,3,7,1,4,3,5,2,4,3,4,4,7,3,6,6,8,4,3,5,4,3,5,6,4,3,10,6,5,7,7,6,4,4,7,5,5,6,6,3,1,5,6,4,2,2,2,0,0,2,1,3,0,0,0,0,5,2,2,2,3,5,1,1,0,0,1,0,0,2
E00016133,346,3,2,4,3,3,5,4,10,8,9,11,2,5,12,6,4,3,6,3,6,3,2,2,0,5,4,3,2,2,3,5,3,3,2,5,9,6,9,8,5,6,4,9,6,4,3,3,5,6,1,4,6,9,8,5,4,6,6,4,8,5,8,3,7,4,3,2,2,4,2,1,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
E00016135,323,3,2,2,4,5,3,7,4,4,10,3,5,6,5,2,6,1,3,1,3,2,1,2,5,3,1,3,2,6,1,3,5,3,5,5,3,4,6,6,5,5,5,6,4,5,5,3,0,6,6,7,4,5,5,14,4,2,7,5,6,8,2,9,6,0,4,3,3,2,4,2,3,4,2,4,1,0,2,2,0,0,0,1,0,1,1,1,1,0,0,3
E00016178,268,4,5,3,4,9,2,2,3,3,1,3,3,4,6,4,2,6,1,2,4,0,2,2,3,2,2,2,4,5,3,5,4,2,3,8,5,5,10,4,3,6,2,0,5,4,6,5,6,6,4,7,3,5,1,2,1,3,1,0,3,5,2,2,2,1,3,1,3,3,1,2,1,3,0,3,4,0,2,3,1,2,0,3,1,0,0,0,0,1,0,4
E00016179,322,2,0,6,3,3,3,5,2,4,4,7,2,5,5,5,2,2,2,3,2,4,3,2,2,3,7,5,6,12,8,6,9,7,8,4,10,8,9,7,7,5,8,8,7,6,4,3,2,6,3,8,5,5,2,5,1,3,2,4,2,1,4,3,2,1,3,3,2,3,1,3,0,1,1,1,0,3,0,1,0,1,1,1,0,0,1,0,0,0,1,1
E00016180,284,4,7,3,0,4,3,3,5,4,4,0,5,1,4,1,2,4,5,3,2,1,2,2,0,2,1,5,6,1,6,2,3,6,4,5,7,6,7,8,6,2,3,6,6,4,4,3,2,4,7,6,8,4,3,5,3,3,2,3,4,3,3,1,0,1,1,1,3,1,0,2,3,9,4,4,1,2,4,1,3,1,2,0,2,1,1,0,1,1,1,1
E00016187,320,8,11,3,9,3,5,3,6,3,2,4,7,3,3,4,3,3,3,3,1,2,0,2,1,1,1,5,7,1,7,4,10,4,7,11,2,10,5,4,8,5,8,5,8,3,7,4,1,4,3,6,5,5,5,3,1,1,3,2,2,2,6,3,0,0,1,1,1,4,0,1,2,2,0,1,1,7,2,3,2,1,1,0,0,4,0,1,1,2,3,8
E00016189,291,5,3,3,6,4,4,6,7,6,3,8,4,2,3,2,1,1,5,2,2,1,2,1,1,1,0,5,1,2,1,4,2,3,4,2,5,2,3,7,5,10,7,5,7,2,10,12,7,4,5,8,6,2,3,5,2,3,3,3,2,1,1,1,4,3,0,3,5,2,3,2,2,1,10,3,1,3,0,1,1,1,1,2,2,1,0,1,0,0,0,1
E00016159,325,6,5,5,1,5,0,7,6,5,3,4,5,2,2,4,5,2,1,5,3,2,3,3,2,4,2,6,2,8,6,6,8,4,5,7,5,10,8,6,6,7,5,5,4,7,4,3,6,1,3,3,5,2,7,2,1,3,3,1,2,5,2,2,4,5,2,3,3,5,5,2,2,5,3,2,3,5,3,2,1,3,0,2,0,2,0,0,0,0,0,1
E00016173,294,2,2,4,4,4,5,4,2,2,5,4,5,4,2,4,2,4,1,3,2,2,2,3,2,2,5,1,5,3,6,5,7,4,6,6,4,8,4,6,6,3,3,5,5,4,2,5,9,4,3,6,5,6,2,3,4,7,5,7,5,3,2,4,3,1,2,2,3,3,1,2,6,3,1,2,1,2,1,2,1,0,0,1,0,0,0,0,0,1,2,0
E00016176,300,4,3,6,1,10,6,3,4,6,3,9,1,6,5,2,2,4,2,2,0,0,0,0,2,2,5,4,4,3,7,4,6,10,5,12,10,0,3,7,7,7,5,7,7,6,2,3,8,4,6,7,9,4,4,4,2,5,3,4,1,3,3,2,3,2,1,0,0,0,1,0,2,1,2,3,1,1,1,0,0,0,0,2,1,0,3,0,0,0,0,0
E00016184,237,2,2,2,3,3,1,0,4,1,1,0,2,1,0,0,2,1,1,1,2,0,1,1,0,3,0,5,3,3,7,6,14,9,8,5,7,6,7,6,6,5,2,4,5,2,7,2,5,3,5,5,7,7,4,4,1,3,0,2,2,1,0,1,1,0,5,1,2,1,1,3,1,0,3,1,1,0,2,2,0,2,0,1,0,2,0,2,2,0,1,0
